id,station,name,type,logo,genre,broadcaster,language,country,region,bitrate,format,geo_fenced,home_page,monitor
76,http://streams.fluxfm.de/radioalt/mp3-320/streams.fluxfm.de/,"FluxFM - Radio Alternative",r,local,Alternative,FluxFM,German,Germany,Europe,320,MP3,No,"",No
77,http://streams.fluxfm.de/rastaradio/mp3-320/streams.fluxfm.de/,"FluxFM - Rasta Radio",r,local,Reggae,FluxFM,German,Germany,Europe,320,MP3,No,"",No
78,https://streams.fluxfm.de/soundofberlin/mp3-320/streams.fluxfm.de/,"FluxFM - Sound Of Berlin",r,local,"Electronica, House",FluxFM,German,Germany,Europe,320,MP3,No,"",No
79,https://streams.fluxfm.de/technoug/mp3-320/streams.fluxfm.de/,"FluxFM - Techno Underground",r,local,"Electronica, Techno",FluxFM,German,Germany,Europe,320,MP3,No,"",No
80,http://streams.fluxfm.de/xjazz/mp3-320/streams.fluxfm.de/,"FluxFM - XJAZZ",r,local,Jazz,FluxFM,German,Germany,Europe,320,MP3,No,"",No
81,http://streams.fluxfm.de/yogasounds/mp3-320/streams.fluxfm.de/,"FluxFM - Yoga Sounds",r,local,"Chill Out, Ambient, Yoga",FluxFM,German,Germany,Europe,320,MP3,No,"",No
82,http://direct.franceculture.fr/live/franceculture-midfi.mp3,"France Culture Live",r,local,"Spoken Word, Current Affairs","Radio France",French,France,Europe,128,MP3,No,"",No
83,http://direct.fipradio.fr/live/fip-midfi.mp3,"France Inter Paris (FIP)",r,local,"Classical, Jazz, Rock, World Music","Radio France",French,France,Europe,128,MP3,No,"",No
84,http://direct.francemusique.fr/live/francemusiqueclassiqueplus-hifi.mp3,"France Musique Classique Plus",r,local,Classical,"Radio France",French,France,Europe,128,MP3,No,"",No
85,http://direct.francemusique.fr/live/francemusiquelacontemporaine-hifi.mp3,"France Musique La Contemporaine",r,local,Contemporary,"Radio France",French,France,Europe,128,MP3,No,"",No
86,http://direct.francemusique.fr/live/francemusiquelajazz-hifi.mp3,"France Musique La Jazz",r,local,Jazz,"Radio France",French,France,Europe,128,MP3,No,"",No
87,http://direct.francemusique.fr/live/francemusique-midfi.mp3,"France Musique Live",r,local,"Classical, Jazz","Radio France",French,France,Europe,128,MP3,No,"",No
88,http://hd.stream.frequence3.net/frequence3.flac,"frequence3 (FLAC)",r,local,"Pop, Top 40, Chart","Frequence3 Association",French,France,Europe,900,FLAC,No,"",No
89,http://mediaserv30.live-streams.nl:8088/live,"Hi On Line - Classical",r,local,Classical,Hi.Fine,English,Netherlands,Europe,320,MP3,No,"",No
